,Term,Overlap,Adjusted P-value,Genes
257,PIP biosynthesis at the early endosome membrane,1/13,1.38e-01,PIK3C3
258,APC/C-mediated degradation of cell cycle proteins,2/82,1.38e-01,PSMD6; PSMB8
259,ATM-dependent DNA damage response,2/82,1.38e-01,CDKN1A; JUN
260,Interferon gamma signaling regulation,1/14,1.43e-01,IFNG
261,TGF-beta regulation of skeletal system development,2/85,1.43e-01,IFNG; TGFBR2
262,Integrin cell surface interactions,2/85,1.43e-01,SYK; ICAM3
263,AKT phosphorylation of cytosolic targets,1/14,1.43e-01,CDKN1A
264,Adhesion and diapedesis of lymphocytes,1/14,1.43e-01,CXCL8
265,T cell receptor/JNK pathway,1/14,1.43e-01,JUN
266,DCC-mediated attractive signaling,1/14,1.43e-01,ABLIM1
267,Viral messenger RNA biosynthesis,1/14,1.43e-01,POLR2B
268,mRNA stability regulation by proteins that bind AU-rich elements,2/86,1.45e-01,PSMD6; PSMB8
269,HDL-mediated lipid transport,1/15,1.45e-01,APOE
270,Hematopoiesis regulation by cytokines,1/15,1.45e-01,CXCL8
271,Erythrocyte differentiation pathway,1/15,1.45e-01,CCL3
272,Mu-calpain pathway,1/15,1.45e-01,EZR
273,Interleukin-17 signaling pathway,1/15,1.45e-01,CXCL8
274,Stress induction of HSP regulation,1/15,1.45e-01,CYCS
275,PRC2 complex long-term gene silencing through modification of histone tails,1/15,1.45e-01,EZH2
276,Repression of pain sensation by the transcriptional regulator DREAM,1/15,1.45e-01,JUN
277,Mitotic G2-G2/M phases,2/87,1.45e-01,TUBA1A; TUBB
278,Oncostatin M,4/311,1.45e-01,JUN; CDKN1A; CXCL8; VEGFA
279,Calcium signaling by HBx of hepatitis B virus,1/15,1.45e-01,JUN
280,HIF-1 degradation in normoxia,2/88,1.45e-01,PSMD6; PSMB8
281,Peptide G-protein coupled receptors,3/192,1.45e-01,CXCL8; CCL4; CCL3
282,Prostate cancer,2/89,1.46e-01,CDKN1A; PIK3CD
283,Acetylation and deacetylation of RelA in the nucleus,1/16,1.49e-01,RIPK1
284,Rb tumor suppressor/checkpoint signaling in response to DNA damage,1/16,1.49e-01,CDKN1A
285,Selenium metabolism and selenoproteins,1/16,1.49e-01,JUN
286,Control of cell cycle and breast tumor growth by estrogen-responsive protein Efp,1/16,1.49e-01,CDK6
287,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),1/16,1.49e-01,TGFBR2
288,p75 neurotrophin receptor signaling via NF-kB,1/16,1.49e-01,MYD88
289,Inhibition of platelet activation by aspirin,1/16,1.49e-01,SYK
290,PI3K subunit p85 role in regulation of actin organization and cell migration,1/16,1.49e-01,ARPC3
291,HIV infection,3/200,1.52e-01,PSMD6; POLR2B; PSMB8
292,PIP biosynthesis at the Golgi membrane,1/17,1.53e-01,PIK3C3
293,"Endocytotic role of NDK, phosphins and dynamin",1/17,1.53e-01,PPP3CC
294,Dendritic cells in regulating TH1 and TH2 development,1/17,1.53e-01,IFNG
295,Chylomicron-mediated lipid transport,1/17,1.53e-01,APOE
296,Cadmium-induced DNA biosynthesis and proliferation in macrophages,1/17,1.53e-01,JUN
297,Atypical NF-kappaB pathway,1/17,1.53e-01,SYK
298,Post-chaperonin tubulin folding pathway,1/17,1.53e-01,TUBA1A
299,Activation of BH3-only proteins,1/17,1.53e-01,PPP3CC
300,Cells and molecules involved in local acute inflammatory response,1/17,1.53e-01,CXCL8
301,Hemostasis pathway,5/468,1.59e-01,SYK; ITPR3; KIF22; RHOB; VEGFA
302,TNFR2 signaling pathway,1/18,1.59e-01,RIPK1
303,Downregulation of MTA-3 in ER-negative breast tumors,1/18,1.59e-01,TUBA1A
304,Effect of METS on macrophage differentiation,1/18,1.59e-01,JUN
305,Wnt signaling pathway and pluripotency,2/98,1.59e-01,JUN; PPP2R2B
306,Potassium channels,2/99,1.61e-01,KCNH7; KCNJ2
307,Granule cell survival pathway,2/99,1.61e-01,JUN; CYCS
308,Cell cycle progression regulation by PLK3,1/19,1.65e-01,CYCS
309,Platelet calcium homeostasis,1/19,1.65e-01,ITPR3
310,GnRH signaling pathway,2/101,1.65e-01,JUN; ITPR3
311,Signaling by ERBB2,2/102,1.67e-01,CDKN1A; ITPR3
312,Apoptotic signaling in response to DNA damage,1/20,1.70e-01,CYCS
313,Cell differentiation pathway,1/20,1.70e-01,EZH2
314,Estrogen receptor signaling pathway,1/20,1.70e-01,JUN
315,Interleukin-3 regulation of hematopoietic cells,1/20,1.70e-01,CXCL8
316,Nerve growth factor (NGF) pathway,1/20,1.70e-01,JUN
317,S1P/S1P1 pathway,1/21,1.74e-01,VEGFA
318,Cytosolic sensors of pathogen-associated DNA,1/21,1.74e-01,RIPK1
319,Y branching of actin filaments,1/21,1.74e-01,ARPC3
320,IGF1 signaling pathway,1/21,1.74e-01,JUN
321,Mitochondrial role in apoptotic signaling,1/21,1.74e-01,CYCS
322,Oxidative stress-induced gene expression via Nrf2,1/21,1.74e-01,JUN
323,G alpha i pathway,2/108,1.77e-01,RGS3; ITPR3
324,Signaling by insulin receptor,2/109,1.79e-01,PIK3C3; ATP6V1E2
325,Epstein-Barr virus LMP1 signaling,1/22,1.80e-01,CXCL8
326,Nitric oxide signaling pathway,1/22,1.80e-01,PPP3CC
327,Epidermal growth factor receptor (EGFR) pathway,2/111,1.83e-01,JUN; RHOB
328,Signaling by EGFR in cancer,2/111,1.83e-01,CDKN1A; ITPR3
329,Angiogenesis,1/23,1.83e-01,VEGFA
330,Signaling events mediated by PRL,1/23,1.83e-01,CDKN1A
331,Hypoxia and p53 in the cardiovascular system,1/23,1.83e-01,CDKN1A
332,Interleukin-11 pathway,1/23,1.83e-01,JUN
333,Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family,1/23,1.83e-01,CDK6
334,Modulation of interferon signaling by chaperones,1/23,1.83e-01,IFNG
335,Oocyte meiosis,2/113,1.84e-01,PPP3CC; ITPR3
336,Plexin D1 signaling,1/24,1.89e-01,VEGFA
337,Ras-independent pathway in NK cell-mediated cytotoxicity,1/24,1.89e-01,SYK
338,Inhibition of cellular proliferation by Gleevec,1/24,1.89e-01,JUN
339,IGF1 receptor signaling through beta-arrestin,1/25,1.90e-01,PPP2R2B
340,DARPP-32 events,1/25,1.90e-01,PPP3CC
341,TPO signaling pathway,1/25,1.90e-01,JUN
342,Corticotropin releasing hormone pathway,1/25,1.90e-01,CXCL8
343,PIP2 hydrolysis,1/25,1.90e-01,ITPR3
344,Regulatory RNA pathways,1/25,1.90e-01,POLR2B
345,Cellular response to hypoxia,1/25,1.90e-01,VEGFA
346,CXCR4 signaling pathway,2/116,1.90e-01,PIK3CD; RHOB
347,Ghrelin pathway,1/25,1.90e-01,CXCL8
348,Leukocyte transendothelial migration,2/117,1.90e-01,PIK3CD; EZR
349,Alpha-9 beta-1 integrin pathway,1/25,1.90e-01,VEGFA
350,ALK1 pathway,1/26,1.93e-01,TGFBR2
351,Physiological and pathological hypertrophy  of the heart,1/26,1.93e-01,JUN
352,Segmentation clock,1/26,1.93e-01,PSEN1
353,TGF-beta signaling in development,1/26,1.93e-01,TGFBR2
354,Inhibition of activated T cell apoptosis by neuropeptides VIP and PACAP,1/26,1.93e-01,PPP3CC
355,Interleukin-9 regulation of target genes,1/26,1.93e-01,CCL3
356,PGC-1a regulation,1/26,1.93e-01,PPP3CC
357,Mammalian calpain regulation of cell motility,1/27,1.96e-01,EZR
358,Kinesins,1/27,1.96e-01,KIF22
359,Cooperation of prefoldin and TriC/CCT  in actin and tubulin folding,1/27,1.96e-01,TUBA1A
360,VEGFR1 pathway,1/27,1.96e-01,VEGFA
361,Cell cycle: G2/M checkpoint,1/27,1.96e-01,CDKN1A
362,Pentose phosphate pathway,1/27,1.96e-01,DERA
363,Signaling by PDGF,2/122,1.96e-01,CDKN1A; ITPR3
364,Collecting duct acid secretion,1/27,1.96e-01,ATP6V1E2
365,RNA polymerase III transcription initiation From type 3 promoter,1/28,1.98e-01,BRF2
366,Recycling pathway of cell adhesion molecule L1,1/28,1.98e-01,EZR
367,TGF-beta receptor activation of SMADs,1/28,1.98e-01,TGFBR2
368,Dual incision reaction in TC-NER,1/28,1.98e-01,POLR2B
369,Interleukin receptor SHC signaling,1/28,1.98e-01,PIK3CD
370,Messenger RNA capping,1/28,1.98e-01,POLR2B
371,PERK-regulated gene expression,1/28,1.98e-01,CXCL8
372,Statin pathway,1/29,2.00e-01,APOE
373,"Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins",3/255,2.00e-01,PSMD6; PSMB8; UBE2J1
374,Integrin beta-2 pathway,1/29,2.00e-01,ICAM3
375,Transferrin endocytosis and recycling,1/29,2.00e-01,ATP6V1E2
376,Skeletal myogenesis control by HDAC and calcium/calmodulin-dependent kinase (CaMK),1/29,2.00e-01,PPP3CC
377,Lipoprotein metabolism,1/29,2.00e-01,APOE
378,S1P/S1P3 pathway,1/29,2.00e-01,VEGFA
379,RNA polymerase,1/29,2.00e-01,POLR2B
380,HIV factor interactions with host,2/128,2.00e-01,PSMD6; PSMB8
381,Signaling by FGFR in disease,2/128,2.00e-01,CDKN1A; ITPR3
382,Sema4D in semaphorin signaling,1/29,2.00e-01,RHOB
383,PDGFA signaling pathway,1/30,2.01e-01,JUN
384,Nuclear events mediated by MAP kinases,1/30,2.01e-01,JUN
385,MicroRNAs in muscle cell differentiation,1/30,2.01e-01,EZH2
386,Interleukin-2/STAT5 pathway,1/30,2.01e-01,CDK6
387,Tumor necrosis factor (TNF) pathway,1/30,2.01e-01,JUN
388,Inflammatory response pathway,1/30,2.01e-01,IFNG
389,Inactivation of GSK3 by Akt causes accumulation of beta-catenin in alveolar macrophages,1/30,2.01e-01,MYD88
390,Interferon-beta enhancer pathway,1/30,2.01e-01,JUN
391,CD40/CD40L signaling,1/31,2.05e-01,JUN
392,Stathmin and breast cancer resistance to antimicrotubule agents,1/31,2.05e-01,TUBA1A
393,DNA strand elongation,1/31,2.05e-01,GINS4
394,Inwardly rectifying potassium channels,1/31,2.05e-01,KCNJ2
395,One-carbon metabolism,1/31,2.05e-01,DNMT1
396,NGF signaling via TRKA from the plasma membrane,2/136,2.10e-01,CDKN1A; ITPR3
397,Alpha-synuclein signaling,1/32,2.10e-01,SYK
398,Adrenergic pathway,2/137,2.12e-01,RGS3; ITPR3
399,PIP biosynthesis at the plasma membrane,1/33,2.15e-01,PIK3CD
400,TGF-beta regulation of extracellular matrix,5/565,2.15e-01,TGFBR3; CDK6; TNFSF10; APOE; VEGFA
401,HIF-2-alpha transcription factor network,1/34,2.18e-01,VEGFA
402,EPO receptor signaling,1/34,2.18e-01,JUN
403,Cysteine and methionine metabolism,1/34,2.18e-01,DNMT1
404,EGF receptor transactivation by GPCRs in cardiac hypertrophy,1/34,2.18e-01,JUN
405,PIK3C1/AKT pathway,1/35,2.21e-01,CDKN1A
406,EGF receptor (ErbB1) signaling pathway,1/35,2.21e-01,PIK3CD
407,fMLP induced chemokine gene expression in HMC-1 cells,1/35,2.21e-01,PPP3CC
408,Interleukin-7 signaling pathway,1/35,2.21e-01,NMI
409,MEF2D role in T cell apoptosis,1/35,2.21e-01,PPP3CC
410,Glycogen metabolism,1/36,2.26e-01,PPP2R2B
411,GM-CSF-mediated signaling events,1/36,2.26e-01,SYK
412,Platelet aggregation (plug formation),1/37,2.29e-01,SYK
413,Allograft rejection,1/37,2.29e-01,IFNG
414,Interleukin-23-mediated signaling events,1/37,2.29e-01,IFNG
415,Latent infection of Homo sapiens with Mycobacterium tuberculosis,1/37,2.29e-01,ATP6V1E2
416,PI3K/AKT activation,1/37,2.29e-01,CDKN1A
417,Calcium regulation in the cardiac cell,2/149,2.30e-01,RGS3; ITPR3
418,p38 alpha/beta MAPK downstream pathway,1/38,2.31e-01,JUN
419,ERBB4 signaling events,1/38,2.31e-01,PIK3CD
420,Trefoil factor initiation of mucosal healing,1/38,2.31e-01,CYCS
421,Signaling of hepatocyte growth factor receptor,1/38,2.31e-01,JUN
422,EGFR interaction with phospholipase C-gamma,1/38,2.31e-01,ITPR3
423,Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling,1/39,2.33e-01,JUN
424,Signaling events regulated by Ret tyrosine kinase,1/39,2.33e-01,JUN
425,Vitamin A and carotenoid metabolism,1/39,2.33e-01,DHRS3
426,GAB1 signalosome,1/39,2.33e-01,CDKN1A
427,HIV-1 transcription initiation,1/39,2.33e-01,POLR2B
428,Iron uptake and transport,1/39,2.33e-01,ATP6V1E2
429,ERBB1 internalization pathway,1/41,2.43e-01,PIK3CD
430,FOXM1 transcription factor network,1/41,2.43e-01,HSPA1B
431,Aldosterone-regulated sodium reabsorption,1/42,2.46e-01,PIK3CD
432,"VEGF, hypoxia, and angiogenesis",1/42,2.46e-01,VEGFA
433,Eukaryotic transcription initiation,1/42,2.46e-01,POLR2B
434,Messenger RNA splicing: minor pathway,1/42,2.46e-01,POLR2B
435,Voltage-gated potassium channels,1/43,2.50e-01,KCNH7
436,Insulin secretion regulation by glucagon-like peptide-1,1/43,2.50e-01,ITPR3
437,Type 1 diabetes mellitus,1/43,2.50e-01,IFNG
438,G-protein-mediated events,1/44,2.52e-01,ITPR3
439,HNF3A pathway,1/44,2.52e-01,JUN
440,Heart development,1/44,2.52e-01,VEGFA
441,PI3K events in ERBB2 signaling,1/44,2.52e-01,CDKN1A
442,RNA polymerase III transcription,1/45,2.56e-01,BRF2
443,Wnt interactions in lipid metabolism and immune response,1/45,2.56e-01,APOE
444,Integrin-linked kinase signaling,1/45,2.56e-01,JUN
445,Interferon signaling,2/168,2.59e-01,IFNG; PSMB8
446,Actions of nitric oxide in the heart,1/47,2.63e-01,VEGFA
447,Agrin in postsynaptic differentiation,1/47,2.63e-01,JUN
448,LKB1 signaling events,1/47,2.63e-01,EZR
449,Gene expression,7/968,2.63e-01,ZNF331; PSMD6; ZNF350; BRF2; POLR2B; ZNF613; PSMB8
450,Energy metabolism,1/48,2.67e-01,PPP3CC
451,"Lipid digestion, mobilization, and transport",1/48,2.67e-01,APOE
452,Angiopoietin receptor Tie2-mediated signaling,1/49,2.70e-01,CDKN1A
453,G alpha 12 pathway,1/49,2.70e-01,JUN
454,Type II interferon signaling (interferon-gamma),1/50,2.74e-01,IFNG
455,Type 2 diabetes mellitus,1/50,2.74e-01,PIK3CD
456,Transcription,2/181,2.82e-01,BRF2; POLR2B
457,Taste transduction,1/52,2.82e-01,ITPR3
458,Endometrial cancer,1/52,2.82e-01,PIK3CD
459,Protein folding,1/53,2.85e-01,TUBA1A
460,Androgen receptor regulation of biosynthesis and transcription,1/53,2.85e-01,JUN
461,GABA A and B receptor activation,1/53,2.85e-01,KCNJ2
462,Phospholipase C-mediated cascade,1/54,2.89e-01,ITPR3
463,Vibrio cholerae infection,1/55,2.93e-01,ATP6V1E2
464,Thromboxane A2 receptor signaling,1/56,2.97e-01,SYK
465,Acute myeloid leukemia,1/57,2.99e-01,PIK3CD
466,Pre-NOTCH expression and processing,1/57,2.99e-01,JUN
467,Mechanism of gene regulation by peroxisome proliferators via PPAR-alpha,1/57,2.99e-01,JUN
468,PI3K cascade,1/57,2.99e-01,CDKN1A
469,Nucleotide excision repair,1/58,3.03e-01,POLR2B
470,Amino acid metabolism,2/195,3.05e-01,PSMD6; PSMB8
471,Natural killer cell receptor signaling pathway,1/60,3.09e-01,SYK
472,Ephrin receptor B forward pathway,1/60,3.09e-01,RGS3
473,Selenium pathway,1/60,3.09e-01,IFNG
474,Androgen receptor proteolysis and transcription regulation,1/61,3.12e-01,CDK6
475,HIV genome transcription,1/61,3.12e-01,POLR2B
476,Endocytosis,2/201,3.14e-01,HSPA1B; TGFBR2
477,Signaling events mediated by focal adhesion kinase,1/62,3.15e-01,JUN
478,Messenger RNA processing,2/203,3.17e-01,POLR2B; SPOP
479,Folate metabolism,1/63,3.18e-01,IFNG
480,Phospholipid metabolism,2/205,3.19e-01,PIK3CD; PIK3C3
481,Angiotensin II-stimulated signaling through G-proteins and beta-arrestin,1/64,3.19e-01,ITPR3
482,Validated nuclear estrogen receptor alpha network,1/64,3.19e-01,JUN
483,Endothelins,1/64,3.19e-01,JUN
484,Interferon alpha/beta signaling,1/64,3.19e-01,PSMB8
485,Retinol metabolism,1/65,3.23e-01,DHRS3
486,Semaphorin interactions,1/66,3.24e-01,RHOB
487,Signaling by TGF-beta receptor complex,1/66,3.24e-01,TGFBR2
488,Beta-1 integrin cell surface interactions,1/66,3.24e-01,VEGFA
489,Thyroid-stimulating hormone signaling pathway,1/66,3.24e-01,JUN
490,cAMP cell motility pathway inferred from amoeba model,1/67,3.27e-01,ITPR3
491,SIDS susceptibility pathways,1/67,3.27e-01,CXCL8
492,Generic transcription pathway,3/377,3.33e-01,ZNF331; ZNF350; ZNF613
493,NFAT involvement in hypertrophy of the heart,1/69,3.34e-01,PPP3CC
494,Signaling events mediated by VEGFR1 and VEGFR2,1/70,3.36e-01,VEGFA
495,Long-term depression,1/70,3.36e-01,ITPR3
496,Viral myocarditis,1/71,3.39e-01,CYCS
497,Interleukin-6 signaling pathway,1/71,3.39e-01,JUN
498,Myc repressed pathway,1/73,3.46e-01,CDKN1A
499,Adherens junction cell adhesion,1/74,3.47e-01,TGFBR2
500,Seven transmembrane receptor signaling through beta-arrestin,1/74,3.47e-01,PPP2R2B
501,E2F transcription factor network,1/74,3.47e-01,CDKN1A
502,Wnt/calcium/cyclic GMP pathway,1/74,3.47e-01,ITPR3
503,Prolactin activation of MAPK signaling,1/75,3.51e-01,JUN
504,RIG-I/MDA5-mediated induction of interferon-alpha/beta pathways,1/76,3.54e-01,RIPK1
505,G alpha (12/13) signaling events,1/77,3.57e-01,RHOB
506,Signaling by SCF-KIT,1/78,3.60e-01,CDKN1A
507,Unfolded protein response,1/79,3.62e-01,CXCL8
508,Signaling events mediated by hepatocyte growth factor receptor (c-Met),1/79,3.62e-01,JUN
509,"Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",1/81,3.69e-01,CYCS
510,GPCR ligand binding,3/410,3.71e-01,CXCL8; CCL4; CCL3
511,Platelet homeostasis,1/82,3.71e-01,ITPR3
512,Response to elevated platelet cytosolic calcium,1/83,3.74e-01,VEGFA
513,Differentiation pathway in PC12 cells,1/84,3.77e-01,JUN
514,MicroRNAs in cardiomyocyte hypertrophy,1/85,3.79e-01,PIK3CD
515,Myc active pathway,1/85,3.79e-01,PTMA
516,Developmental biology,3/420,3.81e-01,ABLIM1; EZR; RHOB
517,Progesterone-mediated oocyte maturation,1/86,3.81e-01,PIK3CD
518,"Non-class A, B, C GPCRs",1/86,3.81e-01,GPR183
519,Salivary secretion,1/89,3.90e-01,ITPR3
520,Signaling by GPCR,6/977,3.93e-01,CXCL8; PPP3CC; CCL4; CCL3; ITPR3; RHOB
521,Neural crest differentiation,1/91,3.96e-01,RHOB
522,L1CAM interactions,1/94,4.05e-01,EZR
523,G-protein signaling pathways,1/95,4.07e-01,PPP3CC
524,"RNA polymerase I, RNA polymerase III, and mitochondrial transcription",1/95,4.07e-01,BRF2
525,M phase pathway,1/96,4.09e-01,CENPM
526,"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds",1/96,4.09e-01,SLC22A4
527,Interferon-gamma signaling pathway,1/97,4.11e-01,IFNG
528,Pyrimidine metabolism,1/100,4.20e-01,POLR2B
529,Pancreatic secretion,1/101,4.22e-01,ITPR3
530,RNA polymerase II transcription,1/101,4.22e-01,POLR2B
531,MHC class II antigen presentation,1/103,4.28e-01,KIF22
532,Interleukin-4 signaling pathway,1/104,4.30e-01,PIK3CD
533,DNA repair,1/105,4.32e-01,POLR2B
534,Neuronal system,2/283,4.36e-01,KCNH7; KCNJ2
535,Metabolism,9/1615,4.39e-01,DNMT1; POLR2B; CYCS; PIK3CD; ITPR3; PIK3C3; APOE; ATP6V1E2; DHRS3
536,Vascular smooth muscle contraction,1/116,4.63e-01,ITPR3
537,Lipid and lipoprotein metabolism,3/489,4.64e-01,PIK3CD; PIK3C3; APOE
538,Tricarboxylic acid (TCA) cycle and respiratory electron transport,1/117,4.64e-01,CYCS
539,HIV life cycle,1/118,4.67e-01,POLR2B
540,G alpha s pathway,1/120,4.71e-01,RGS3
541,Rho GTPase cycle,1/123,4.79e-01,RHOB
542,Integration of energy metabolism,1/125,4.82e-01,ITPR3
543,Influenza viral RNA transcription and replication,1/125,4.82e-01,POLR2B
544,Factors involved in megakaryocyte development and platelet production,1/125,4.82e-01,KIF22
545,Spliceosome,1/127,4.87e-01,HSPA1B
546,Adipogenesis,1/133,5.00e-01,CDKN1A
547,Cell adhesion molecules (CAMs),1/133,5.00e-01,ICAM3
548,Tight junction,1/133,5.00e-01,PPP2R2B
549,Ubiquitin-mediated proteolysis,1/136,5.06e-01,UBE2J1
550,Oxidative phosphorylation,1/136,5.06e-01,ATP6V1E2
551,Diabetes pathways,1/137,5.08e-01,CXCL8
552,Capped intron-containing pre-mRNA processing,1/138,5.10e-01,POLR2B
553,Systemic lupus erythematosus,1/139,5.11e-01,IFNG
554,EGF/EGFR signaling pathway,1/141,5.15e-01,JUN
555,Influenza infection,1/142,5.17e-01,POLR2B
556,Purine metabolism,1/164,5.68e-01,POLR2B
557,Transmission across chemical synapses,1/190,6.21e-01,KCNJ2
558,G alpha (i) signaling events,1/199,6.38e-01,CXCL8
559,Transmembrane transport of small molecules,2/432,6.43e-01,SLC22A4; ATP6V1E2
560,Gastrin-CREB signaling pathway via PKC and MAPK,1/206,6.48e-01,ITPR3
561,SLC-mediated transmembrane transport,1/251,7.19e-01,SLC22A4
562,Protein metabolism,1/442,8.94e-01,TUBA1A
